RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area_Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject Effects,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,Census Tract,ZIP,County,County desc
7504770,20191160261,4/26/2019 0:00,341,717 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,204015063: 20191160261,NO COMPLAINT OF INJURY/PAIN,M,B,N,,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,10/30/2015 0:00,3,3116761,10070297,9,-,78701,1,TRAVIS COUNTY
7504770,20191160261,4/26/2019 0:00,339,717 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,204015063: 20191160261,NO COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2016 0:00,3,3116761,10070297,9,-,78701,1,TRAVIS COUNTY
7504752,20191160266,4/26/2019 0:00,,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459797847: 20191160266,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7504752,20191160266,4/26/2019 0:00,,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459797847: 20191160266,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7504752,20191160266,4/26/2019 0:00,515,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459797847: 20191160266,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,7/8/2016 0:00,3,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7505586,20191161785,4/26/2019 0:00,2022,4605 AVENUE A,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,216139760: 20191161785,NO COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 600 EVE REG I PATROL,10/28/2016 0:00,2,3117905,10087087,9,3,78751,1,TRAVIS COUNTY
7505586,20191161785,4/26/2019 0:00,,4605 AVENUE A,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,216139760: 20191161785,NO COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 400 REG I PATROL,6/23/2017 0:00,2,3117905,10087087,9,3,78751,1,TRAVIS COUNTY
7505581,20191170022,4/27/2019 0:00,12,1521 REAGAN HILL DR,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,3,153184269: 20191170022,COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 800 REG I PATROL,6/23/2017 0:00,2,3130766,10092120,4,-,78752,1,TRAVIS COUNTY
7505673,20191170062,4/27/2019 0:00,,3754 E SH 71 SVRD EB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459798597: 20191170062,NO COMPLAINT OF INJURY/PAIN,F,W,,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,6/20/2008 0:00,11,3151540,10045240,,24.33,78617,1,TRAVIS COUNTY
7505673,20191170062,4/27/2019 0:00,417,3754 E SH 71 SVRD EB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459798597: 20191170062,NO COMPLAINT OF INJURY/PAIN,F,W,,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3151540,10045240,,24.33,78617,1,TRAVIS COUNTY
7505678,20191170190,4/27/2019 0:00,201,6315 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,458995040: 20191170190,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,12/22/2017 0:00,1,3107161,10043224,2,-,78744,1,TRAVIS COUNTY
7505678,20191170190,4/27/2019 0:00,201,6315 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,458995040: 20191170190,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,12/22/2017 0:00,1,3107161,10043224,2,-,78744,1,TRAVIS COUNTY
7505635,20191171302,4/27/2019 0:00,1700,4410 MANCHACA RD,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459152872: 20191171302,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,9/24/1999 0:00,20,3099979,10056288,5,-,78745,1,TRAVIS COUNTY
7505616,20191171505,4/27/2019 0:00,,2503 E 10TH ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459798936: 20191171505,NO COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,HENRY 100 REG III PATROL,1/2/2009 0:00,10,3123188,10070033,1,-,78702,1,TRAVIS COUNTY
7505855,20191171665,4/27/2019 0:00,1935,E 11TH ST / N IH 35 SVRD SB,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459076534: 20191171665,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,4/16/2007 0:00,12,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
7505855,20191171665,4/27/2019 0:00,1935,E 11TH ST / N IH 35 SVRD SB,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459076534: 20191171665,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,3/20/2015 0:00,4,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
7505425,20191171831,4/27/2019 0:00,2120,900 SAN JACINTO BLVD,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459795184: 20191171831,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I EVENING,3/22/2013 0:00,6,3115374,10071586,9,11,78701,1,TRAVIS COUNTY
7505439,20191171880,4/27/2019 0:00,1045,5300 BURNET RD,BA,,NECESSARY TO EFFECT ARREST / DETENTION,1,32179249: 20191171880,SERIOUS INJURY,F,W,N,EDP/MENTALLY UNSTABLE,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,7/13/2012 0:00,7,3114757,10091858,7,2,78756,1,TRAVIS COUNTY
7507272,20191172046,4/27/2019 0:00,2325,2237 E RIVERSIDE DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,23,216278062: 20191172046,MINOR INJURY,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,11/13/2015 0:00,3,3119795,10060019,3,-,78741,1,TRAVIS COUNTY
7507272,20191172046,4/27/2019 0:00,2254,2237 E RIVERSIDE DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,216278062: 20191172046,MINOR INJURY,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,12/22/2017 0:00,1,3119795,10060019,3,-,78741,1,TRAVIS COUNTY
7507272,20191172046,4/27/2019 0:00,2325,2237 E RIVERSIDE DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,216278062: 20191172046,MINOR INJURY,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3119795,10060019,3,-,78741,1,TRAVIS COUNTY
7505661,20191172160,4/27/2019 0:00,2348,600 SAN JACINTO BLVD,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,72485288: 20191172160,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,1/2/2009 0:00,10,3115070,10070567,9,-,78701,1,TRAVIS COUNTY
7505661,20191172160,4/27/2019 0:00,0,600 SAN JACINTO BLVD,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,72485288: 20191172160,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,3/21/2014 0:00,5,3115070,10070567,9,-,78701,1,TRAVIS COUNTY
7505661,20191172160,4/27/2019 0:00,0,600 SAN JACINTO BLVD,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,72485288: 20191172160,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 700 REG IV PATROL,9/2/2018 0:00,1,3115070,10070567,9,-,78701,1,TRAVIS COUNTY
7505595,20191180244,4/28/2019 0:00,145,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459339885: 20191180244,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/21/2014 0:00,5,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7505595,20191180244,4/28/2019 0:00,223,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,4,459427677: 20191180244,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,NOT RESISTANT,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,1,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2016 0:00,3,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7505453,20191180267,4/28/2019 0:00,315,2112 E WILLIAM CANNON DR,FR,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459798776: 20191180267,NO COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,10/28/2016 0:00,2,3109146,10041443,2,-,78744,1,TRAVIS COUNTY
7505735,20191180320,4/28/2019 0:00,313,10505 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,325323041: 20191180320,MINOR INJURY,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,6/18/2004 0:00,15,3100225,10025948,5,24.28,78747,1,TRAVIS COUNTY
7505735,20191180320,4/28/2019 0:00,,10505 S IH 35 SVRD NB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,325323041: 20191180320,MINOR INJURY,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,12/22/2017 0:00,1,3100225,10025948,5,24.28,78747,1,TRAVIS COUNTY
7505656,20191180468,4/28/2019 0:00,,E 5TH ST / TILLERY ST,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1210807: 20191180468,NO COMPLAINT OF INJURY/PAIN,,,,,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,2,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,12/22/2017 0:00,1,3125674,10066365,3,9,78702,1,TRAVIS COUNTY
7505656,20191180468,4/28/2019 0:00,627,E 5TH ST / TILLERY ST,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,,,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,IMPACT MUNITION/BEANBAG RND-ENTER # SHOTS,,,,,3,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,12/22/2017 0:00,1,3125674,10066365,3,9,78702,1,TRAVIS COUNTY
7505573,20191181027,4/28/2019 0:00,1540,10324 ESCARPMENT BLVD,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,85066274: 20191181027,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,10/7/2011 0:00,8,3070141,10042881,8,17.7,78739,1,TRAVIS COUNTY
7505573,20191181027,4/28/2019 0:00,1529,10324 ESCARPMENT BLVD,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,85066274: 20191181027,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,12/22/2017 0:00,1,3070141,10042881,8,17.7,78739,1,TRAVIS COUNTY
7505573,20191181027,4/28/2019 0:00,,10324 ESCARPMENT BLVD,DA,4-DISPATCHED CALL [non MV Stop],,4,85066274: 20191181027,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,12/22/2017 0:00,1,3070141,10042881,8,17.7,78739,1,TRAVIS COUNTY
7506108,20191181073,4/28/2019 0:00,,1128 LEONA ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND ANOTHER,3,436339044: 20191181073,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3120990,10071027,1,8,78702,1,TRAVIS COUNTY
7505567,20191181262,4/28/2019 0:00,,5406 N CAPITAL OF TEXAS HWY SB,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND ANOTHER,1,59245135: 20191181262,DEATH,M,W,H,,DEADLY RESISTANCE,FIREARM - HANDGUN-ENTER # SHOTS,,,,,20,NO COMPLAINT OF INJURY/PAIN,HENRY 100 REG III PATROL,3/21/2014 0:00,5,3096891,10100872,10,19.12,78746,1,TRAVIS COUNTY
7505567,20191181262,4/28/2019 0:00,,5406 N CAPITAL OF TEXAS HWY SB,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND ANOTHER,1,59245135: 20191181262,DEATH,M,W,H,,DEADLY RESISTANCE,FIREARM - RIFLE-ENTER # SHOTS,,,,,7,NO COMPLAINT OF INJURY/PAIN,BAKER 300 REG I PATROL,3/20/2015 0:00,4,3096891,10100872,10,19.12,78746,1,TRAVIS COUNTY
7506580,20191181574,4/28/2019 0:00,32,516 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459798911: 20191181574,COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,4/23/2010 0:00,9,3115992,10070366,9,-,78701,1,TRAVIS COUNTY
7506580,20191181574,4/28/2019 0:00,2250,516 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459798911: 20191181574,COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,3/20/2015 0:00,4,3115992,10070366,9,-,78701,1,TRAVIS COUNTY
7506580,20191181574,4/28/2019 0:00,2210,516 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459798911: 20191181574,COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG 1 EVENING,11/13/2015 0:00,3,3115992,10070366,9,-,78701,1,TRAVIS COUNTY
7505672,20191181682,4/28/2019 0:00,47,900 E SLAUGHTER LN,88,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,288624267: 20191181682,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,6/23/2017 0:00,2,3104874,10030637,,24.28,78747,1,TRAVIS COUNTY
7506388,20191190126,4/29/2019 0:00,353,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459704409: 20191190126,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2016 0:00,3,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7506388,20191190126,4/29/2019 0:00,220,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459550472: 20191190126,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,9/2/2018 0:00,1,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7506388,20191190126,4/29/2019 0:00,220,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459550472: 20191190126,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,9/1/2018 0:00,1,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7505928,20191190463,4/29/2019 0:00,1000,7101 N IH 35 SVRD NB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459641606: 20191190463,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,F,B,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 100 REG I PATROL,7/9/1999 0:00,20,3126272,10094107,4,18.12,78752,1,TRAVIS COUNTY
7505928,20191190463,4/29/2019 0:00,1000,7101 N IH 35 SVRD NB,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459641606: 20191190463,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,F,B,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,1/4/2008 0:00,11,3126272,10094107,4,18.12,78752,1,TRAVIS COUNTY
7506034,20191190752,4/29/2019 0:00,1337,110 E 2ND ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,458953978: 20191190752,NO COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 200 REG I DAYS,6/27/2003 0:00,16,3114154,10069410,9,-,78701,1,TRAVIS COUNTY
7506202,20191191072,4/29/2019 0:00,1519,5355 N IH 35 SVRD NB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459479668: 20191191072,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,4/23/2010 0:00,9,3125141,10087431,4,-,78723,1,TRAVIS COUNTY
